№;Улица;Номер;Вид объекта;Полный адрес;Кадастровый номер;Дата внесения записи в ГАР;Дата документа-основания;Номер документа-основания;Наименование документа-основания;Последнее обновление записи;Статус записи;ID ФИАС;Почтовый индекс;ОКТМО;Примечания;Реестровый номер записи;objectId (ГАР)
41;ул. Алмазная;51;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 51;;22.06.2026;18.06.2026;01/05-414;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;d0b8b0b2-2e6f-42d1-a3ef-d63c4f3d14eb;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510045000000000;180104026
42;ул. Алмазная;51 строение А;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, здание 51 строение А;;22.06.2026;18.06.2026;01/05-414;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;969798e6-f666-4330-bbc8-e163a5c4a81c;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000530008000000000;180104031
43;ул. Алмазная;51 строение Б;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, здание 51 строение Б;;22.06.2026;18.06.2026;01/05-414;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;4762e618-c462-426a-91de-840bc0ed0a55;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000530007000000000;180104030
44;ул. Алмазная;51 строение В;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, здание 51 строение В;;22.06.2026;18.06.2026;01/05-414;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;080407f9-54e0-4dce-ba1a-aed8c437f732;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000530006000000000;180104028
45;ул. Алмазная;52;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 52;96:01:0005445:286;22.06.2026;18.06.2026;01/05-413;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;d0818e61-c653-41bd-b044-54e8e2c74f89;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510044000000000;180104024
46;ул. Алмазная;53;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 53;96:01:0005445:280;22.06.2026;18.06.2026;01/05-406;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;61174dda-b49c-419b-a73c-5db59e3230ae;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510039000000000;180104014
47;ул. Алмазная;55;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 55;;26.06.2026;25.06.2026;01/05-461;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;26.06.2026;Актуальная;84a05f3e-27f5-4921-af6e-9e53b33771f8;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510047000000000;180203712
48;ул. Алмазная;55;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, здание 55;;26.06.2026;25.06.2026;01/05-461;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;26.06.2026;Актуальная;c8066404-6113-4951-8f01-ed2ea27d833a;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000520009000000000;180203713
49;ул. Алмазная;56;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 56;;22.06.2026;18.06.2026;01/05-421;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;ac3be9eb-13de-4292-8e23-6e3822793011;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510035000000000;180103913
50;ул. Алмазная;57;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 57;;22.06.2026;18.06.2026;01/05-412;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;563db4d2-eafa-4f39-a355-0293585a5bc8;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510043000000000;180104020
